"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 12:19:40 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","67","User","","","","","When I search for a user",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","172","Pet","","","","","When I search for available dogs",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","58","Pet","","","","","When I search again for Blackie",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","69","User","","","","","When I try to Login",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","61","Pet","","","","","When I search for Blackie",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","65","Pet","","","","","When I update Blackie's status to sold",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","65","Pet","","","","","When I search for Blackie",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","65","Pet","","","","","Given a pet dog is available in the store",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","64","Pet","","","","","When I add a tag on Blackie's record",""
"passed","Mon Jan 02 12:19:41 GMT 2023","Mon Jan 02 12:19:41 GMT 2023","59","Pet","","","","","When I delete Blackie's record",""
"passed","Mon Jan 02 12:19:40 GMT 2023","Mon Jan 02 12:19:40 GMT 2023","308","User","","","","","When I create a User",""
